year,cens,zone_stat,desc_zone,district,area,n_stops,n_lines,avg_distan,tot,tot_F,tot_M,tot_foreig,n_fam,minors,working_age,seniors,tot_500,F_500,tot_M_500,foreign_500,fam_500,minors_500,working_500,seniors_500,stop_coverage,tot_accidents,tot_vehicles_involves,vehicle_categories,n_public_vehicles,public_accidents
2012,1,1,Municipio,1,13878.5614993,0,0,-1.0,333,197,136,114,238,33.0,226.0,74.0,6580,3671,3241,2228,4471,1122.0,4237.0,1553.0,0.0,2.0,4.0,"['veicoli_grandi', 'privato_moto', 'privato_vettura', 'altro']",0.0,0.0
2019,1,1,Municipio,1,13878.5614993,0,0,-1.0,268,158,110,89,180,26.0,169.0,73.0,5973,3163,2810,1704,3838,955.0,3606.0,1412.0,0.0,2.0,3.0,"['privato_vettura', 'privato_moto']",0.0,0.0
2012,2,1,Municipio,1,16652.2704683,1,4,2.422815945716709,549,269,280,266,309,98.0,391.0,60.0,6575,3640,3259,2215,4459,1119.0,4233.0,1547.0,0.001821493624772,1.0,2.0,['pubblico'],2.0,1.0
2019,2,1,Municipio,1,16652.2704683,1,5,2.316142557651991,473,238,235,181,266,74.0,340.0,59.0,6067,3199,2873,1692,3903,992.0,3703.0,1377.0,0.002114164904863,2.0,2.0,"['privato_vettura', 'privato_moto']",0.0,0.0
2012,4,1,Municipio,1,6942.76285182,0,0,-1.0,45,20,25,2,14,6.0,34.0,5.0,5490,2619,2871,2029,2917,878.0,3764.0,848.0,0.0,1.0,2.0,"['privato_vettura', 'privato_moto']",0.0,0.0
2019,4,1,Municipio,1,6942.76285182,0,0,-1.0,47,23,24,10,15,7.0,31.0,9.0,4981,2476,2500,1523,2758,784.0,3351.0,841.0,0.0,2.0,5.0,"['privato_vettura', 'pubblico']",1.0,1.0
2012,6,1,Municipio,1,6614.55420746,1,3,2.377862595419847,11,0,11,0,11,0.0,3.0,8.0,6134,2982,3152,1864,3697,1115.0,4206.0,813.0,0.090909090909091,0.0,0.0,0,0.0,0.0
2019,6,1,Municipio,1,6614.55420746,1,3,2.291823899371069,10,2,8,0,9,0.0,1.0,9.0,5559,2750,2804,1448,3390,956.0,3726.0,872.0,0.1,2.0,3.0,"['privato_vettura', 'privato_moto']",0.0,0.0
2012,7,1,Municipio,1,3928.73109813,0,0,-1.0,68,36,32,0,34,8.0,40.0,20.0,6268,3021,3247,2011,3744,1144.0,4269.0,855.0,0.0,0.0,0.0,0,0.0,0.0
2019,7,1,Municipio,1,3928.73109813,0,0,-1.0,64,37,27,0,36,6.0,34.0,24.0,5733,2829,2904,1547,3478,1006.0,3822.0,905.0,0.0,0.0,0.0,0,0.0,0.0
2012,8,1,Municipio,1,8572.44710106,0,0,-1.0,283,118,165,70,173,31.0,216.0,36.0,5490,2677,2813,1713,3107,822.0,3856.0,812.0,0.0,0.0,0.0,0,0.0,0.0
2019,8,1,Municipio,1,8572.44710106,0,0,-1.0,227,95,132,31,156,21.0,164.0,42.0,4983,2511,2467,1299,2915,723.0,3416.0,839.0,0.0,2.0,4.0,"['polizia', 'privato_vettura', 'pubblico', 'altro']",1.0,1.0
2012,9,1,Municipio,1,11326.0375022,0,0,-1.0,39,18,21,5,23,9.0,25.0,5.0,4715,2278,2437,1347,2627,720.0,3322.0,673.0,0.0,0.0,0.0,0,0.0,0.0
2019,9,1,Municipio,1,11326.0375022,0,0,-1.0,154,78,76,17,88,32.0,111.0,11.0,4373,2186,2182,1013,2527,623.0,3017.0,728.0,0.0,2.0,3.0,"['privato_vettura', 'privato_moto']",0.0,0.0
2012,11,1,Municipio,1,3495.76401015,0,0,-1.0,91,44,47,5,56,10.0,59.0,22.0,6454,3186,3268,1816,3927,1131.0,4460.0,863.0,0.0,0.0,0.0,0,0.0,0.0
2019,11,1,Municipio,1,3495.76401015,0,0,-1.0,76,37,39,4,50,7.0,50.0,19.0,5881,2931,2945,1373,3600,971.0,3943.0,962.0,0.0,0.0,0.0,0,0.0,0.0
2012,12,1,Municipio,1,5978.23373518,0,0,-1.0,166,85,81,11,92,33.0,112.0,21.0,6427,3111,3314,1891,3859,1156.0,4389.0,880.0,0.0,0.0,0.0,0,0.0,0.0
2019,12,1,Municipio,1,5978.23373518,0,0,-1.0,156,84,72,9,86,25.0,106.0,25.0,5922,2927,2990,1476,3587,1028.0,3945.0,944.0,0.0,1.0,2.0,"['privato_vettura', 'privato_moto']",0.0,0.0
2012,13,1,Municipio,1,4970.60697579,0,0,-1.0,181,88,93,7,123,8.0,118.0,55.0,5283,2605,2676,1383,3046,782.0,3703.0,796.0,0.0,0.0,0.0,0,0.0,0.0
2019,13,1,Municipio,1,4970.60697579,0,0,-1.0,172,81,91,11,117,7.0,91.0,74.0,4817,2469,2343,978,2831,673.0,3290.0,849.0,0.0,0.0,0.0,0,0.0,0.0
2012,14,1,Municipio,1,8132.32617618,0,0,-1.0,9,9,0,0,9,0.0,1.0,8.0,6417,3202,3206,1541,3898,1108.0,4374.0,926.0,0.0,0.0,0.0,0,0.0,0.0
2012,15,1,Municipio,1,7088.61009345,0,0,-1.0,104,54,50,10,59,14.0,79.0,11.0,6167,3107,3058,1392,3581,906.0,4356.0,903.0,0.0,0.0,0.0,0,0.0,0.0
2019,15,1,Municipio,1,7088.61009345,0,0,-1.0,105,62,43,8,62,17.0,77.0,11.0,5700,2934,2761,972,3370,776.0,3918.0,1001.0,0.0,2.0,3.0,"['privato_moto', 'privato_vettura', 'bicicletta']",0.0,0.0
2012,16,1,Municipio,1,6565.47006719,0,0,-1.0,109,52,57,37,67,17.0,81.0,11.0,5839,2908,2929,1316,3423,825.0,4122.0,890.0,0.0,0.0,0.0,0,0.0,0.0
2019,16,1,Municipio,1,6565.47006719,0,0,-1.0,104,51,53,36,63,8.0,79.0,17.0,5414,2762,2647,982,3238,721.0,3712.0,976.0,0.0,0.0,0.0,0,0.0,0.0
2012,17,1,Municipio,1,6699.35281887,0,0,-1.0,73,35,38,12,45,11.0,51.0,11.0,5349,2671,2676,1201,3173,738.0,3789.0,820.0,0.0,0.0,0.0,0,0.0,0.0
2019,17,1,Municipio,1,6699.35281887,0,0,-1.0,75,40,35,6,45,8.0,53.0,14.0,4876,2492,2379,836,2954,639.0,3346.0,886.0,0.0,0.0,0.0,0,0.0,0.0
2012,18,1,Municipio,1,4957.89993721,0,0,-1.0,122,63,59,16,59,19.0,83.0,20.0,4547,2266,2279,820,2707,610.0,3237.0,698.0,0.0,0.0,0.0,0,0.0,0.0
2019,18,1,Municipio,1,4957.89993721,0,0,-1.0,98,52,46,10,56,14.0,70.0,14.0,4250,2187,2058,613,2567,555.0,2932.0,758.0,0.0,1.0,1.0,['privato_moto'],0.0,0.0
2012,19,1,Municipio,1,9267.08933079,0,0,-1.0,110,52,58,15,69,14.0,74.0,22.0,4369,2185,2182,639,2601,577.0,3099.0,691.0,0.0,1.0,1.0,['privato_vettura'],0.0,0.0
2019,19,1,Municipio,1,9267.08933079,0,0,-1.0,91,40,51,15,59,10.0,56.0,25.0,4150,2136,2009,494,2512,542.0,2833.0,770.0,0.0,1.0,1.0,['bicicletta'],0.0,0.0
2012,21,1,Municipio,1,8852.04124284,1,1,2.906276505513147,110,58,52,22,54,14.0,72.0,24.0,6648,3390,3241,1221,4058,1137.0,4462.0,1032.0,0.009090909090909,0.0,0.0,0,0.0,0.0
2019,21,1,Municipio,1,8852.04124284,1,1,2.967295597484277,97,59,38,4,55,13.0,63.0,21.0,6167,3171,2974,969,3803,969.0,4059.0,1117.0,0.010309278350515,1.0,2.0,['privato_vettura'],0.0,0.0
2012,23,1,Municipio,1,6453.64693253,0,0,-1.0,72,36,36,5,38,11.0,48.0,13.0,6480,3306,3172,1096,3856,907.0,4497.0,1074.0,0.0,0.0,0.0,0,0.0,0.0
2019,23,1,Municipio,1,6453.64693253,0,0,-1.0,63,26,37,4,31,9.0,41.0,13.0,6089,3179,2905,820,3657,795.0,4132.0,1157.0,0.0,0.0,0.0,0,0.0,0.0
2012,24,1,Municipio,1,7517.44258391,1,10,2.097964376590331,180,83,97,24,125,18.0,135.0,27.0,5677,2877,2798,935,3339,804.0,3973.0,898.0,0.005555555555556,1.0,2.0,"['privato_vettura', 'privato_moto']",0.0,0.0
2019,24,1,Municipio,1,7517.44258391,1,12,2.061215932914046,162,91,71,8,100,29.0,108.0,25.0,5363,2780,2578,686,3217,706.0,3656.0,996.0,0.006172839506173,0.0,0.0,0,0.0,0.0
2012,25,1,Municipio,1,2370.17190873,2,7,2.801102629346904,73,39,34,12,43,11.0,49.0,13.0,5677,2859,2816,940,3380,771.0,3998.0,906.0,0.027397260273973,1.0,1.0,['privato_vettura'],0.0,0.0
2019,25,1,Municipio,1,2370.17190873,1,1,2.840670859538784,66,35,31,12,38,8.0,45.0,13.0,5357,2779,2573,678,3242,699.0,3662.0,991.0,0.015151515151515,0.0,0.0,0,0.0,0.0
2012,26,1,Municipio,1,7581.00965576,0,0,-1.0,150,83,67,29,90,18.0,98.0,34.0,4849,2457,2390,613,2915,613.0,3427.0,807.0,0.0,0.0,0.0,0,0.0,0.0
2019,26,1,Municipio,1,7581.00965576,0,0,-1.0,141,78,63,28,88,18.0,91.0,32.0,4677,2426,2246,489,2846,599.0,3176.0,897.0,0.0,0.0,0.0,0,0.0,0.0
2012,27,1,Municipio,1,7105.67115291,0,0,-1.0,71,28,43,5,37,12.0,45.0,14.0,3936,1982,1954,544,2377,501.0,2798.0,637.0,0.0,0.0,0.0,0,0.0,0.0
2019,27,1,Municipio,1,7105.67115291,0,0,-1.0,104,53,51,48,77,20.0,72.0,12.0,3787,1946,1836,426,2314,477.0,2617.0,688.0,0.0,0.0,0.0,0,0.0,0.0
2012,28,1,Municipio,1,11253.176383,0,0,-1.0,204,106,98,30,123,38.0,123.0,43.0,5221,2708,2496,621,3020,734.0,3565.0,905.0,0.0,1.0,1.0,['privato_vettura'],0.0,0.0
2019,28,1,Municipio,1,11253.176383,0,0,-1.0,194,94,100,10,122,25.0,127.0,42.0,4941,2623,2301,445,2883,645.0,3283.0,996.0,0.0,2.0,3.0,"['veicoli_grandi', 'privato_moto', 'privato_vettura']",0.0,0.0
